time,QI_BL1_1@PV,QI_BL2_1@PV,QI_BL3_1@PV,QI_BL4_1@PV,QI_BLA_1@PV,QI_BL5_1@PV,QI_BL6_1@PV,QI_BL7_1@PV,QI_NTU_1@PV,QI_BP2_1@PV,QI_FUS_1@PV,QI_F2B@PV,QI_MUD@PV,QI_HOT@PV,QI_BP3@PV
4/3/2011 0:01,291,222,173.25,302.25,1209,843.75,594,576.75,32.25,936,460,59.303902,1.4881001,0.75093299,0.74768502
4/3/2011 0:02,291.75,219,173.25,305.25,1211.25,836.25,585,582,30.75,932.25,464,60.1339,1.47074,0.63889301,23.2143
4/3/2011 0:03,297.75,204.75,176.25,302.25,1206,854.25,591,593.25,27,954,456,60.565498,1.4337,0.533732,41.663399
4/3/2011 0:04,291,207,177.75,306,1197,846.75,600.75,572.25,0.75,953.25,450,59.303902,1.37731,0.53637803,113.448
4/3/2011 0:05,282,204.75,176.25,315.75,1188.75,831,608.25,573.75,3.75,948,456,57.870399,1.4608099,0.53042501,68.593102
4/3/2011 0:06,261.75,204.75,174,312.75,1203,816.75,605.25,573.75,20.25,947.25,454,57.295601,1.36342,0.52910298,33.188702
4/3/2011 0:07,267.75,204.75,176.25,308.25,1217.25,815.25,644.25,573.75,18.75,948,462,51.9431,1.375,0.53307098,17.980801
4/3/2011 0:08,276.75,204.75,180.75,311.25,1197,836.25,638.25,578.25,18.75,947.25,470,50.409698,1.39583,0.54166901,0
